Message ID, CreationTime [μs]  , ReceiveTime [μs] , TimeDifference [μs]
612, 6006120, 6022963, 16843
613, 6006130, 6022976, 16846
614, 6006140, 6022989, 16849
615, 6006150, 6023002, 16852
616, 6006160, 6023016, 16856
617, 6006170, 6023029, 16859
618, 6006180, 6023042, 16862
619, 6006190, 6023055, 16865
620, 6006200, 6023068, 16868
621, 6006210, 6023082, 16872
622, 6006220, 6023095, 16875
623, 6006230, 6023108, 16878
624, 6006240, 6023121, 16881
625, 6006250, 6023134, 16884
626, 6006260, 6023148, 16888
627, 6006270, 6023161, 16891
628, 6006280, 6023174, 16894
629, 6006290, 6023187, 16897
630, 6006300, 6023200, 16900
631, 6006310, 6023214, 16904
632, 6006320, 6023227, 16907
633, 6006330, 6023240, 16910
634, 6006340, 6023253, 16913
635, 6006350, 6023266, 16916
636, 6006360, 6023280, 16920
637, 6006370, 6023293, 16923
638, 6006380, 6023306, 16926
639, 6006390, 6023319, 16929
640, 6006400, 6023332, 16932
641, 6006410, 6023346, 16936
642, 6006420, 6023359, 16939
643, 6006430, 6023372, 16942
644, 6006440, 6023385, 16945
645, 6006450, 6023398, 16948
646, 6006460, 6023412, 16952
647, 6006470, 6023425, 16955
648, 6006480, 6023438, 16958
649, 6006490, 6023451, 16961
650, 6006500, 6023478, 16978
651, 6006510, 6023491, 16981
652, 6006520, 6023504, 16984
653, 6006530, 6023517, 16987
654, 6006540, 6023531, 16991
655, 6006550, 6023544, 16994
656, 6006560, 6023557, 16997
657, 6006570, 6023570, 17000
658, 6006580, 6023583, 17003
659, 6006590, 6023597, 17007
660, 6006600, 6023610, 17010
661, 6006610, 6023623, 17013
662, 6006620, 6023636, 17016
663, 6006630, 6023649, 17019
664, 6006640, 6023663, 17023
665, 6006650, 6023676, 17026
666, 6006660, 6023689, 17029
667, 6006670, 6023702, 17032
668, 6006680, 6023715, 17035
669, 6006690, 6023729, 17039
670, 6006700, 6023742, 17042
671, 6006710, 6023755, 17045
672, 6006720, 6023768, 17048
673, 6006730, 6023781, 17051
674, 6006740, 6023795, 17055
675, 6006750, 6023808, 17058
676, 6006760, 6023821, 17061
677, 6006770, 6023834, 17064
678, 6006780, 6023847, 17067
679, 6006790, 6023861, 17071
680, 6006800, 6023874, 17074
681, 6006810, 6023887, 17077
682, 6006820, 6023900, 17080
683, 6006830, 6023913, 17083
684, 6006840, 6023927, 17087
685, 6006850, 6023940, 17090
686, 6006860, 6023953, 17093
687, 6006870, 6023966, 17096
688, 6006880, 6023979, 17099
689, 6006890, 6023993, 17103
690, 6006900, 6024006, 17106
691, 6006910, 6024019, 17109
692, 6006920, 6024032, 17112
693, 6006930, 6024045, 17115
694, 6006940, 6024059, 17119
695, 6006950, 6024072, 17122
696, 6006960, 6024085, 17125
697, 6006970, 6024098, 17128
698, 6006980, 6024111, 17131
699, 6006990, 6024125, 17135
700, 6007000, 6024151, 17151
701, 6007010, 6024164, 17154
702, 6007020, 6024178, 17158
703, 6007030, 6024191, 17161
704, 6007040, 6024204, 17164
705, 6007050, 6024217, 17167
706, 6007060, 6024230, 17170
707, 6007070, 6024244, 17174
708, 6007080, 6024257, 17177
709, 6007090, 6024270, 17180
710, 6007100, 6024283, 17183
711, 6007110, 6024296, 17186
712, 6007120, 6024310, 17190
713, 6007130, 6024323, 17193
714, 6007140, 6024336, 17196
715, 6007150, 6024349, 17199
716, 6007160, 6024362, 17202
717, 6007170, 6024376, 17206
718, 6007180, 6024389, 17209
719, 6007190, 6024402, 17212
720, 6007200, 6024415, 17215
721, 6007210, 6024428, 17218
722, 6007220, 6024442, 17222
723, 6007230, 6028012, 20782
724, 6007240, 6028025, 20785
725, 6007250, 6028038, 20788
726, 6007260, 6028051, 20791
727, 6007270, 6028065, 20795
728, 6007280, 6028078, 20798
729, 6007290, 6028091, 20801
730, 6007300, 6028104, 20804
731, 6007310, 6028117, 20807
732, 6007320, 6028131, 20811
733, 6007330, 6028144, 20814
734, 6007340, 6028157, 20817
735, 6007350, 6028170, 20820
736, 6007360, 6028183, 20823
737, 6007370, 6028197, 20827
738, 6007380, 6028210, 20830
739, 6007390, 6028223, 20833
740, 6007400, 6028236, 20836
741, 6007410, 6028249, 20839
742, 6007420, 6028263, 20843
743, 6007430, 6028276, 20846
744, 6007440, 6028289, 20849
745, 6007450, 6028302, 20852
746, 6007460, 6028315, 20855
747, 6007470, 6028329, 20859
748, 6007480, 6028342, 20862
749, 6007490, 6028355, 20865
750, 6007500, 6028382, 20882
751, 6007510, 6028395, 20885
752, 6007520, 6028408, 20888
753, 6007530, 6028421, 20891
754, 6007540, 6028434, 20894
755, 6007550, 6028448, 20898
756, 6007560, 6028461, 20901
757, 6007570, 6028474, 20904
758, 6007580, 6028487, 20907
759, 6007590, 6028500, 20910
760, 6007600, 6028514, 20914
761, 6007610, 6028527, 20917
762, 6007620, 6028540, 20920
763, 6007630, 6028553, 20923
764, 6007640, 6028566, 20926
765, 6007650, 6028580, 20930
766, 6007660, 6028593, 20933
767, 6007670, 6028606, 20936
768, 6007680, 6028619, 20939
769, 6007690, 6028632, 20942
770, 6007700, 6028646, 20946
771, 6007710, 6028659, 20949
772, 6007720, 6028672, 20952
773, 6007730, 6028685, 20955
774, 6007740, 6028698, 20958
775, 6007750, 6028712, 20962
776, 6007760, 6028725, 20965
777, 6007770, 6028738, 20968
778, 6007780, 6028751, 20971
779, 6007790, 6028764, 20974
780, 6007800, 6028778, 20978
781, 6007810, 6028791, 20981
782, 6007820, 6028804, 20984
783, 6007830, 6028817, 20987
784, 6007840, 6028830, 20990
785, 6007850, 6028844, 20994
786, 6007860, 6028857, 20997
787, 6007870, 6028870, 21000
788, 6007880, 6028883, 21003
789, 6007890, 6028896, 21006
790, 6007900, 6028910, 21010
791, 6007910, 6028923, 21013
792, 6007920, 6028936, 21016
793, 6007930, 6028949, 21019
794, 6007940, 6028962, 21022
795, 6007950, 6028976, 21026
796, 6007960, 6028989, 21029
797, 6007970, 6029002, 21032
798, 6007980, 6029015, 21035
799, 6007990, 6029028, 21038
800, 6008000, 6029055, 21055
801, 6008010, 6029068, 21058
802, 6008020, 6029082, 21062
803, 6008030, 6029095, 21065
804, 6008040, 6029108, 21068
805, 6008050, 6029121, 21071
806, 6008060, 6029134, 21074
807, 6008070, 6029148, 21078
808, 6008080, 6029161, 21081
809, 6008090, 6029174, 21084
810, 6008100, 6029187, 21087
811, 6008110, 6029200, 21090
812, 6008120, 6029214, 21094
813, 6008130, 6029227, 21097
814, 6008140, 6029240, 21100
815, 6008150, 6029253, 21103
816, 6008160, 6029266, 21106
817, 6008170, 6029280, 21110
818, 6008180, 6029293, 21113
819, 6008190, 6029306, 21116
820, 6008200, 6029319, 21119
821, 6008210, 6029332, 21122
822, 6008220, 6029346, 21126
823, 6008230, 6029359, 21129
824, 6008240, 6029372, 21132
825, 6008250, 6029385, 21135
826, 6008260, 6029398, 21138
827, 6008270, 6029412, 21142
828, 6008280, 6029425, 21145
829, 6008290, 6029438, 21148
830, 6008300, 6029451, 21151
831, 6008310, 6029464, 21154
832, 6008320, 6029478, 21158
833, 6008330, 6029491, 21161
834, 6008340, 6029504, 21164
835, 6008350, 6029517, 21167
836, 6008360, 6029530, 21170
837, 6008370, 6029544, 21174
838, 6008380, 6029557, 21177
839, 6008390, 6029570, 21180
840, 6008400, 6029583, 21183
841, 6008410, 6029596, 21186
842, 6008420, 6029610, 21190
843, 6008430, 6029623, 21193
844, 6008440, 6029636, 21196
845, 6008450, 6029649, 21199
846, 6008460, 6029662, 21202
847, 6008470, 6029676, 21206
848, 6008480, 6029689, 21209
849, 6008490, 6029702, 21212
850, 6008500, 6029729, 21229
851, 6008510, 6029742, 21232
852, 6008520, 6029755, 21235
853, 6008530, 6029768, 21238
854, 6008540, 6029781, 21241
855, 6008550, 6029795, 21245
856, 6008560, 6029808, 21248
857, 6008570, 6029821, 21251
858, 6008580, 6029834, 21254
859, 6008590, 6029847, 21257
860, 6008600, 6029861, 21261
861, 6008610, 6029874, 21264
862, 6008620, 6029887, 21267
863, 6008630, 6029900, 21270
864, 6008640, 6029913, 21273
